mz,ms1score,,,,,,,,,,,,,,,ms1score,ms1score,Bins,,Bin,Frequency,,,
403.9889933,0,,,,,,,,,,,,,,,-6.160328971,-6.2,,,,,,,
403.9887594,0,,,,,,,,,,,,,,,-6.160328971,-6.2,,,,,,,
401.9979553,-4.595219855,,,,,,,,,,,,,,,-6.15127537,-6.2,,,,,,,
404.0122884,0,,,,,,,,,,,,,,,-6.15127537,-6.2,,,,,,,
402.0275879,-0.691847005,-5.07036749,,,,,,,,,,,,,,-6.15127537,-6.2,,,,,,,
404.0504557,0.084836858,-1.004710152,-4.729449032,,,,,,,,,,,,,-6.138552669,-6.1,,,,,,,
404.0504557,0.09623287,-1.024653172,-4.729449032,,,,,,,,,,,,,-6.137226064,-6.1,,,,,,,
404.0504557,0.09623287,-1.024653172,-4.729449032,,,,,,,,,,,,,-6.131410806,-6.1,,,,,,,
404.0504557,0.09623287,-1.024653172,-4.729449032,,,,,,,,,,,,,-6.105387659,-6.1,,,,,,,
404.0544637,0,,,,,,,,,,,,,,,-6.104290331,-6.1,,,,,,,
404.0544637,0,,,,,,,,,,,,,,,-6.104290331,-6.1,,,,,,,
404.1037903,-3.301400901,-6.137226064,-1.541611303,,,,,,,,,,,,,-6.104290331,-6.1,,,,,,,
404.1134135,-0.651774185,,,,,,,,,,,,,,,-6.096827053,-6.1,,,,,,,
404.1134135,-0.667158801,,,,,,,,,,,,,,,-6.096827053,-6.1,,,,,,,
404.136851,-1.476849831,-1.476849831,-1.476849831,-1.476849831,-1.476849831,,,,,,,,,,,-6.096827053,-6.1,,,,,,,
404.136851,-0.476849831,-0.476849831,-0.476849831,-0.476849831,-0.476849831,,,,,,,,,,,-6.083203237,-6.1,,,,,,,
404.136851,-0.476849831,-0.476849831,-0.476849831,-0.476849831,-0.476849831,,,,,,,,,,,-6.083203237,-6.1,,,,,,,
404.1491597,0,,,,,,,,,,,,,,,-6.083203237,-6.1,,,,,,,
404.1775004,-1.473978831,-4.096924481,-5.47391639,,,,,,,,,,,,,-6.078412285,-6.1,,,,,,,
404.1775004,-1.473978831,-3.596924481,-5.47391639,,,,,,,,,,,,,-6.068415709,-6.1,,,,,,,
