"mz","rt","X500_700_Neg_JeansA.mzXML","X500_700_Neg_JeansB.mzXML","X500_700_Neg_JeansC.mzXML","X500_700_Neg_JeansD.mzXML","X500_700_Neg_JeansDx.mzXML","X500_700_Neg_JeansE.mzXML","X500_700_Neg_JeansF.mzXML","X500_700_Neg_JeansG.mzXML","X500_700_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
568.903747558594,7.32361666666667,100,100,100,100,100,100,131409.3125,78726.7421875,25756.755859375,7,"C18H20S9","-0.901830523614412","0.00995033085316809","-0.891880192761244","CC(S)CSCC(C)S.S=C1SC(=S)C=C1.S=C2SC(=S)c3ccccc23","17893","[M+CH2O2-H]-","0","0","0","0",0,"0"
571.352294921875,10.0744666666667,1464436.25,454882.46875,763898.8125,689289.25,193455.3125,5727.537109375,258044.125,596704.75,275256.125,1,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
571.352864583333,10.8247166666667,89750.1171875,37528.7421875,6113071.5,34628.20703125,8656.140625,100,24916.2734375,29472.595703125,8446.0029296875,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
572.355753580729,10.8247166666667,436710.625,126483.8125,1900524.375,200923.625,62989.58203125,100,84959.5390625,205929.921875,76127.3203125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
573.331481933594,6.6946,211886.3125,140263.921875,522225.71875,142888.96875,148537.609375,142891.765625,613921.75,172877.28125,142558.5,7,"C30H56N2S4","-0.553544128547443","-1.98942409637662","-3.14296822492406","CC1(C)CNCC(C)(C)C1(C)SC(=S)CCCCCCCCC(=S)SC2(C)C(C)(C)CNCC2(C)C","23079","[M-H]-",";0","-0.5","1","0",0,"0"
573.356811523438,10.8247166666667,60979.20703125,28239.83984375,299913.78125,40916.62890625,10604.47265625,100,15960.8828125,36259.83984375,11948.19140625,3,"C32H60S4","-0.0419586005824631","0.00995033085316809","-0.841532079253104","CCCCCCCCCCCC(=S)SCCSC(=S)CCCCCCC\C=C/CCCCCCCC","22236","[M-H]-",";0","-0.5","1","0",0,"0"
574.334818522135,6.6946,63109.06640625,46281.81640625,144957.953125,43527.88671875,43056.6640625,42742.3359375,188497.625,46665.2578125,41224.89453125,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
575.416524251302,9.49076666666667,100,100,100,100,100,100,62836.45703125,150389.6875,56623.828125,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
576.360778808594,5.10466666666667,112282.7734375,89394.609375,230562.265625,74487.9453125,70235.1171875,84426.890625,75413.546875,78961.625,105540.140625,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
581.316121419271,5.45645,6850.576171875,22371.03125,472682.8125,12659.6201171875,100,100,6692.9013671875,9394.759765625,100,3,"C38H47NS2","-0.0284777848419171","-1.9320692338168","-1.96054701865872","CC(C)c1ccc2c(CCC3C(C)(CCCC23C)CN(CCC(=S)c4ccccc4)CCC(=S)c5ccccc5)c1","37433","[M]-","0","0","0.5","0",0,"-1.46054701865872"
