mz,rt,X500_700_Neg_jgu1.mzXML,X500_700_Neg_jgu2.mzXML,X500_700_Neg_jgw1.mzXML,X500_700_Neg_jgw2.mzXML,X500_700_Neg_nju1.mzXML,X500_700_Neg_nju2.mzXML,X500_700_Neg_njw1.mzXML,X500_700_Neg_njw2.mzXML,X500_700_Neg_oju2.mzXML,X500_700_Neg_ojw1.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,temp.scorevalues
502.8922729,6.440833333,100,100,100,100,100,100,100,100,1178504.102,446793.5625,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.9556274,8.270733333,100,100,100,119264.3984,100,100,147461.25,492198.8125,100,114085.25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.1479492,7.0959,527514.4375,250773.3125,215708.8906,281232.0313,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.2184448,6.52645,100,100,100,100,213219.3438,205586.6875,321679.8438,326726.4063,212590.1719,21223.88281,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.2818807,6.84715,100,100,100,100,199591.5469,253519.2656,198587.6719,250883.6875,100,245037.125,6,C30H46ClO2P;C34H36N2O2,-0.537270415338665;-0.484471587697812,0.00995033085316809;0.00995033085316809,-1.5273200844855;-0.807854590177978,CCCCCCCCCc1ccc(OP(Cl)Oc2ccc(CCCCCCCCC)cc2)cc1;CCCCn1c(C)c(c2ccccc12)C3(OC(=O)c4ccccc34)c5c(C)n(CCCC)c6ccccc56,20790;20606,[M-H]-;[M]-,0;0,0,-0.5;0,1;0.5,0;0,0;-0.307854590177978,0
505.3088175,9.796716667,100,100,100,100,168531.2813,1063139.75,100,162959.3594,100,175416.4375,6,C30H46O4,-0.002451295,0.009950331,-0.069424041,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(O)=O,812,[M+Cl]-,0.5,0,-0.5,0,0,0,0
505.3739726,6.99135,100,100,100,100,100,100,100,100,246438.1104,243486.5938,9,C27H54O8;C26H52O6,0.00802865871864731;0.00802865871864731,-2.82354943370231;-3.2739950103757,-2.81552077498366;-3.26596635165705,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCC(O)=O;CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCO,32463;2769,[M-H]-;[M+CH2O2-H]-,0;0,0,0;0,1;0,0;0,-1.81552077498366;-3.26596635165705,0
505.4023031,9.006933333,380336.8867,100,100,653269.0117,100,100,100,100,100,100,4,C28H59O5P,-0.036461077,0.009950331,-0.026510747,CCCCCCCCCCCCCCCCCCCCCCCCCC[C@@H](O)CO[P](O)(O)=O,42238,[M-H]-,0,0,0,1,0,0.973489253,0
505.4260763,10.7886,100,172464.1211,100,135759.6055,100,100,154889.9648,127815.8242,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.8398641,8.251266667,300118.9688,279288.1563,206658.8438,281752.3125,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506.2160746,6.555616667,100,100,100,100,100,100,101915.5234,112706.1172,101279.3125,100,8,C30H33ClN2O3;C31H28N2O2,-0.963069525889816;0.00827277154787751,0.00995033085316809;-2.74692600001458,-0.953119195036648;-2.7386532284667,[Cl-].CCOc1ccc(CNc2ccc(cc2)C=CC3=[N+](C)c4ccc(cc4C3(C)C)C(=O)OC)cc1;Cc1ccc(Nc2ccc(Nc3c(C)cc(C)cc3C)c4C(=O)c5ccccc5C(=O)c24)c(C)c1,12552;25331,[M]-;[M+CH2O2-H]-,0;0,0,0;0,0.5;0,0;0,0;-2.7386532284667,0
504.8894348,6.412066667,100,100,100,100,100,100,100,100,1148756.855,305366.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.8921814,8.081116667,100,100,100,100,100,100,105984.0469,459665.8125,100,475455.7813,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.1027018,4.529783333,339868.875,293679.9063,257180.4375,355421.5625,100,100,100,100,100,128721.25,4,C24H34Cl4O4,-0.647566635,-2.313610812,-2.961177446,CCCCC(CC)COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCC(CC)CCCC,21164,[M-H-H2O]-,0,0,0,0,0,-2.961177446,0
507.2592977,6.49275,1436467.5,1248711.75,1917978.375,2191764,100,100,100,100,100,23486.87891,4,C26H38O7;C26H38O7,0.00765421799981699;0.00765421799981699,-3.58134876301229;-3.58134876301229,-3.4702462691504;-3.4702462691504,CCCCOC(=O)C=C.CC(O)COC(=O)C(C)=C.CC(=C)C(O)=O.C=Cc1ccccc1;CCCCOC(=O)C(C)=C.CC(=C)C(O)=O.CC(=C)C(=O)OCCO.C=Cc1ccccc1,9976;20433,[M+CH2O2-H]-;[M+CH2O2-H]-,0.5;0.5,0,0;0,0;0,0;0,-3.0702462691504;-3.0702462691504,0
507.2606303,5.885716667,100,100,100,100,486187.0659,403239.9722,355303.0034,326275.9097,194803.3472,287699.0313,5,C26H38O7;C26H38O7,0.00767709044020978;0.00767709044020978,-3.73978978206439;-3.73978978206439,-4.73211269162418;-4.73211269162418,CCCCOC(=O)C=C.CC(O)COC(=O)C(C)=C.CC(=C)C(O)=O.C=Cc1ccccc1;CCCCOC(=O)C(C)=C.CC(=C)C(O)=O.CC(=C)C(=O)OCCO.C=Cc1ccccc1,9976;20433,[M+CH2O2-H]-;[M+CH2O2-H]-,0;0,0,0;0,0;0,0;0,-4.73211269162418;-4.73211269162418,0
507.262441,11.01096667,513091.4453,506887.5391,1313183.758,1310418.508,100,100,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.2625224,10.275,1259595.258,1571111.758,1313183.758,1666085.633,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.2794189,9.998466667,100,100,100,100,441244.7832,427130.877,810826.127,491038.127,100,100,7,C26H39NO6,-0.506419602,0.009950331,-1.496469271,CCCCC(CC)COC(=O)C=C.NC(=O)C=C.OC(=O)C=C.C=O.C=Cc1ccccc1,31057,[M+CH2O2-H]-,0,0,0,0,0,-1.496469271,0
505.3085938,9.796716667,100,100,100,100,144124.7344,297767.9375,100,100,100,100,6,C30H46O4,-0.050473814,0.009950331,-0.290523483,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(O)=O,812,[M+Cl]-,0.5,0,-0.5,0,0,0,0
507.3237813,8.005966667,100,100,100,100,623327.8125,766742.5,140636.5313,437256.8125,100,134814.2656,6,C31H44N2O4,-0.068358754,-4.516354641,-4.584713395,CCCCC(CC)COC(=O)c1ccc(NC=Nc2ccc(cc2)C(=O)OCC(CC)CCCC)cc1,43498,[M-H]-,0,0,-0.5,1,0,0,0
507.3237813,8.005966667,100,100,100,100,623327.8125,766742.5,183757.1719,376457.375,100,292739.375,6,C31H44N2O4,-0.068358754,-4.516354641,-4.584713395,CCCCC(CC)COC(=O)c1ccc(NC=Nc2ccc(cc2)C(=O)OCC(CC)CCCC)cc1,43498,[M-H]-,0,0,-0.5,1,0,0,0
507.3653971,8.138766667,100,100,100,100,104694.6328,100,190908.6875,104705.0313,100,431661.2188,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.3852336,9.426433333,100,100,100,100,176214.6113,153695.252,100,202716.5645,100,100,8,C27H54O8,-0.48460945,-2.173546909,-2.658156359,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCC(O)=O,32463,[M]-,0,0,0,0.5,0,-2.158156359,0
507.4406331,8.056783333,1185891.75,525139.5,651201.375,1852269.5,717031.8125,701547,1311558.125,2589760.625,13999463.13,2959038.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.8400269,8.250883333,100,205644.0938,145838.6563,180208.1094,100,100,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508.0744731,5.824133333,3667691.25,3121037.25,3594483.25,3034999,100,100,100,100,100,100,1,C23H25IN2O,-0.536170848,-2.653749616,-3.189920464,[I-].CCCC[n+]1ccc(C=CN(C(C)=O)c2ccccc2)c3ccccc13,38426,[M+Cl]-,0,0,-0.5,0,0,0,0
508.1409098,5.806866667,100,100,100,100,199948.0781,212827.375,246022.0938,223938.9531,100,196010.8125,7,C25H29Cl3N2;C30H26N2O5S,-1.02181612514348;-0.486009223756858,0.00995033085316809;-4.15590312938992,-1.01186579429031;-4.64191235314678,[H+].[H+].[Cl-].[Cl-].Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1;CO[S]([O-])(=O)=O.CN1c2ccc(C)cc2c3c4ccccc4c([O+])c5c(Nc6ccc(C)cc6)ccc1c35,1919;41467,[M+CH2O2-H]-;[M-H-H2O]-,0;0,0,0;0,0;0,0;0,0;-4.64191235314678,0
