"mz","rt","X500_700_Pos_jgu1.mzXML","X500_700_Pos_jgu2.mzXML","X500_700_Pos_jgw1.mzXML","X500_700_Pos_jgw2.mzXML","X500_700_Pos_nju1.mzXML","X500_700_Pos_nju2.mzXML","X500_700_Pos_njw1.mzXML","X500_700_Pos_njw2.mzXML","X500_700_Pos_oju2.mzXML","X500_700_Pos_ojw1.mzXML","formula.pred","SMILES","allscore"
"617.1654663","4.792116667","100","100","100","100","274827.52739375","185775.01169375","383673.15239375","298915.43359375","315893.05859375","4348606.5","C37H21N5O5","O=C1c2ccccc2C(=O)c3c(Nc4nc(Nc5cccc6C(=O)c7ccccc7C(=O)c56)nc(Oc8ccccc8)n4)cccc13","-0.480426874"
"618.4295044","9.97725","8522814.49609375","7056648.49609375","11902134.4960938","6121316.99609375","100","100","100","100","100","67122.28125","C33H60O10","CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1","-0.484264415"
"617.4851074","9.019133333","344345.5625","266846.2813","523563.9688","381070.3438","1806430.25","1660336.75","721122.4375","1318807.75","103962.3125","26229.21289","C30H65NO7S","CCCCCCCCCCCCCCCCCCCCCCCCO[S](O)(=O)=O.OCCN(CCO)CCO","-0.323874312"
"618.5421346","9.7706","100","100","158271.7188","100","1675685.75","1709842.125","127506.6719","1257456.125","142571.3594","100","C34H68N2O6","CCCCCCCCCCCCCCCCCC(O)=O.CC1(C)CC(N)CC(C)(CN)C1.OC(=O)CCCCC(O)=O","0.015006918"
"619.3394979","4.705683333","146139.6406","178607.5781","100","100","100","170102.9219","100","103811.9766","100","1315382.5","C34H47ClO6","CCCCCCCCCC/C=C/C1CC(=O)OC1=O.CC(C)(c2ccc(O)cc2)c3ccc(O)cc3.ClCC4CO4","-0.083490193"
"619.4174805","8.908883333","526981.384765625","170297.572265625","104714.619165625","100","155490.087865625","100","100","185408.634765625","1567781.25976562","1206071.625","C42H52N2O2","CCCCCCCCn1c(C)c(c2ccccc12)C3(OC(=O)c4ccccc34)c5c(C)n(CCCCCCCC)c6ccccc56","-0.575300928"
"619.4373779","7.845783333","2741492.609375","2061946.109375","3296994.609375","1427101.859375","108186.328175","167993.859375","141926.015675","100","244328.109375","1138186.875","C34H61NO7","CCCCCCCCCCCCCCCCCCCN(C(C(=O)OCC(C)C)C(=O)OCC(C)C)C(=O)\C=C/C(O)=O","0"
"619.4373779","7.845783333","2741492.609375","2061946.109375","3296994.609375","1427101.859375","108186.328175","167993.859375","141926.015675","100","244328.109375","1138186.875","C35H64O5S","CCCCCCCCCCCCc1cccc(c1CCCCCCCCCCCC)[S](O)(=O)=O.CC2CO2.C3CO3","0"
"619.4372965","7.931033333","139263386.109375","138554618.109375","89045434.109375","83328586.109375","304632010.109375","328009770.109375","129151522.109375","124292282.109375","274630506.109375","377814656","C34H61NO7","CCCCCCCCCCCCCCCCCCCN(C(C(=O)OCC(C)C)C(=O)OCC(C)C)C(=O)\C=C/C(O)=O","0"
"619.4372965","7.931033333","139263386.109375","138554618.109375","89045434.109375","83328586.109375","304632010.109375","328009770.109375","129151522.109375","124292282.109375","274630506.109375","377814656","C35H64O5S","CCCCCCCCCCCCc1cccc(c1CCCCCCCCCCCC)[S](O)(=O)=O.CC2CO2.C3CO3","0"
