mz,minintensity,sampleID,IsUnique,,Formula,ProdList,+e-,-10 ppm,+10 ppm,,Match found?,Total matches
129.018,47190.49609,3,FALSE,,,,,,,,,
129.018,51571.25,4,FALSE,,,,,,,,,
129.018,45607.05469,5,FALSE,,,,,,,,,
129.018,48603.58594,6,FALSE,,,,,,,,,
129.018,43728.86328,7,FALSE,,,,,,,,,
129.018,45997.18359,8,FALSE,,,,,,,,,
129.018,44625.48438,9,FALSE,,,,,,,,,
129.055,24653.92773,1,FALSE,,,,,,,,,
129.055,28801.49219,2,FALSE,,,,,,,,,
129.055,23810.32617,3,FALSE,,,,,,,,,
129.055,27841.88477,4,FALSE,,,,,,,,,
129.055,27820.75391,5,FALSE,,,,,,,,,
129.055,28212.55078,6,FALSE,,,,,,,,,
129.055,27369.64453,7,FALSE,,,,,,,,,
129.055,27782.60352,8,FALSE,,,,,,,,,
129.055,27500.05078,9,FALSE,,,,,,,,,
129.975,2215.926514,1,FALSE,,,,,,,,,
129.975,3375.885742,4,FALSE,,,,,,,,,
129.975,3058.889648,6,FALSE,,,,,,,,,
130.05,3182.821533,1,FALSE,,,,,,,,,
130.05,2480.703125,2,FALSE,,,,,,,,,
130.05,2931.688477,3,FALSE,,,,,,,,,
130.05,3306.496826,4,FALSE,,,,,,,,,
130.05,3228.164795,6,FALSE,,,,,,,,,
130.05,3522.973145,7,FALSE,,,,,,,,,
130.05,3561.13623,8,FALSE,,,,,,,,,
130.05,2977.662109,9,FALSE,,,,,,,,,
130.928,2628.825439,4,FALSE,,,,,,,,,
130.928,2531.580322,5,FALSE,,,,,,,,,
130.928,2671.881836,6,FALSE,,,,,,,,,
130.928,2228.930176,7,FALSE,,,,,,,,,
130.928,2327.150635,8,FALSE,,,,,,,,,
130.928,2705.664307,9,FALSE,,,,,,,,,
130.943,2180.519775,6,TRUE,,,,,,,,,
131.034,86559.42969,1,FALSE,,,,,,,,,
131.034,92762.61719,2,FALSE,,,,,,,,,
131.034,73033.8125,3,FALSE,,,,,,,,,
131.034,100739.0391,4,FALSE,,,,,,,,,
131.034,96574.1875,5,FALSE,,,,,,,,,
131.034,87468.49219,6,FALSE,,,,,,,,,
131.034,83769.82031,7,FALSE,,,,,,,,,
131.034,87899.77344,8,FALSE,,,,,,,,,
131.034,96577.85156,9,FALSE,,,,,,,,,
131.07,15530.17871,1,FALSE,,,,,,,,,
131.07,10419.22266,2,FALSE,,,,,,,,,
131.07,9510.339844,3,FALSE,,,,,,,,,
131.07,12473.87793,4,FALSE,,,,,,,,,
131.07,13398.33008,5,FALSE,,,,,,,,,
131.07,12999.28711,6,FALSE,,,,,,,,,
131.07,9569.154297,7,FALSE,,,,,,,,,
131.07,11540.32715,8,FALSE,,,,,,,,,
131.07,12584.31055,9,FALSE,,,,,,,,,
132.037,2681.59082,1,FALSE,,,,,,,,,
132.037,3486.825928,2,FALSE,,,,,,,,,
132.037,2495.438477,4,FALSE,,,,,,,,,
132.037,3083.898438,5,FALSE,,,,,,,,,
132.037,2996.676514,6,FALSE,,,,,,,,,
132.037,3918.480713,8,FALSE,,,,,,,,,
132.037,3254.266113,9,FALSE,,,,,,,,,
132.867,11833.70215,1,FALSE,,,,,,,,,
132.867,7096.352051,2,FALSE,,,,,,,,,
132.867,6041.477051,3,FALSE,,,,,,,,,
132.867,3956.862305,4,FALSE,,,,,,,,,
132.867,2932.026123,5,FALSE,,,,,,,,,
132.867,3469.386475,6,FALSE,,,,,,,,,
132.867,3949.603271,7,FALSE,,,,,,,,,
132.867,3147.335693,8,FALSE,,,,,,,,,
132.867,3173.822754,9,FALSE,,,,,,,,,
132.899,2004.629517,1,FALSE,,,,,,,,,
132.899,4306.289551,2,FALSE,,,,,,,,,
132.899,4235.074219,4,FALSE,,,,,,,,,
132.899,4136.230957,5,FALSE,,,,,,,,,
132.899,5312,6,FALSE,,,,,,,,,
132.899,3469.783691,7,FALSE,,,,,,,,,
132.899,4291.332031,8,FALSE,,,,,,,,,
132.899,4285.812012,9,FALSE,,,,,,,,,
132.922,39310.90625,1,FALSE,,,,,,,,,
132.922,62613.38281,2,FALSE,,,,,,,,,
132.922,65493.84375,3,FALSE,,,,,,,,,
132.922,67025.69531,4,FALSE,,,,,,,,,
132.922,78605.04688,5,FALSE,,,,,,,,,
132.922,71310.8125,6,FALSE,,,,,,,,,
132.922,72523.16406,7,FALSE,,,,,,,,,
132.922,70435.125,8,FALSE,,,,,,,,,
132.922,90570.74219,9,FALSE,,,,,,,,,
134.046,2516.062988,1,FALSE,,,,,,,,,
134.046,2924.861816,2,FALSE,,,,,,,,,
134.046,3202.395508,4,FALSE,,,,,,,,,
134.046,3091.688232,5,FALSE,,,,,,,,,
134.046,3095.703369,6,FALSE,,,,,,,,,
134.864,4320.859375,1,FALSE,,,,,,,,,
134.864,3159.921387,2,FALSE,,,,,,,,,
134.864,2418.491455,3,FALSE,,,,,,,,,
134.864,2329.068848,4,FALSE,,,,,,,,,
134.864,2309.059814,5,FALSE,,,,,,,,,
134.864,2051.439453,7,FALSE,,,,,,,,,
134.864,2351.030029,8,FALSE,,,,,,,,,
134.894,130472.6641,4,FALSE,,,,,,,,,
134.894,137312.75,5,FALSE,,,,,,,,,
134.894,79780.85938,8,FALSE,,,,,,,,,
134.894,144996.7188,9,FALSE,,,,,,,,,
135.044,2065.956787,1,FALSE,,,,,,,,,
135.044,2838.972412,2,FALSE,,,,,,,,,
135.044,2987.564941,4,FALSE,,,,,,,,,
135.044,2679.748291,5,FALSE,,,,,,,,,
135.044,2315.70874,6,FALSE,,,,,,,,,
135.894,5731.568848,1,FALSE,,,,,,,,,
135.894,13142.67676,2,FALSE,,,,,,,,,
135.894,11495.78027,4,FALSE,,,,,,,,,
135.894,11842.8418,5,FALSE,,,,,,,,,
135.894,13392.76953,6,FALSE,,,,,,,,,
135.894,10063.68262,7,FALSE,,,,,,,,,
135.894,11569.2793,8,FALSE,,,,,,,,,
135.894,13099.375,9,FALSE,,,,,,,,,
136.862,2695.073975,1,FALSE,,,,,,,,,
136.862,2140.939941,3,FALSE,,,,,,,,,
136.891,18833.89648,1,FALSE,,,,,,,,,
136.891,36391.69531,4,FALSE,,,,,,,,,
136.891,41366.19531,5,FALSE,,,,,,,,,
136.891,17510.68359,8,FALSE,,,,,,,,,
136.891,40666.57813,9,FALSE,,,,,,,,,
137.023,6127.21875,1,FALSE,,,,,,,,,
137.023,8182.837891,2,FALSE,,,,,,,,,
137.023,6987.930664,3,FALSE,,,,,,,,,
137.023,7826.734863,4,FALSE,,,,,,,,,
137.023,6526.92627,5,FALSE,,,,,,,,,
137.023,8129.497559,6,FALSE,,,,,,,,,
137.023,7989.876465,7,FALSE,,,,,,,,,
137.023,8594.09082,8,FALSE,,,,,,,,,
137.023,7491.382813,9,FALSE,,,,,,,,,
137.06,2011.659424,2,FALSE,,,,,,,,,
137.06,2106.959961,5,FALSE,,,,,,,,,
137.891,2333.986572,1,FALSE,,,,,,,,,
137.891,3631.057861,2,FALSE,,,,,,,,,
137.891,4284.77832,4,FALSE,,,,,,,,,
137.891,5066.63623,5,FALSE,,,,,,,,,
137.891,6710.026367,6,FALSE,,,,,,,,,
137.891,6389.409668,7,FALSE,,,,,,,,,
137.891,6641.442383,8,FALSE,,,,,,,,,
137.891,5280.693848,9,FALSE,,,,,,,,,
138.019,7325.913574,1,FALSE,,,,,,,,,
138.019,9277.633789,2,FALSE,,,,,,,,,
138.019,8302.929688,4,FALSE,,,,,,,,,
138.019,7187.620117,5,FALSE,,,,,,,,,
138.019,8619.071289,6,FALSE,,,,,,,,,
138.019,8344.15918,8,FALSE,,,,,,,,,
