mz,,,,max,step 0.002,upper,lower,Match?,Match total,,step 0.001,upper,lower,Match?,Match total,,step 0.0005,upper,lower,Match?,Match total,,step 0.0002,step 0.0001
100.0107346,TRUE,100.0107,4,,100.162,100.1625,100.1615,FALSE,,,100.081,100.0815,100.0805,FALSE,,,100.0405,100.041,100.04,FALSE,,,,
100.0107422,TRUE,100.0107,4,,100.164,100.1645,100.1635,FALSE,,,100.082,100.0825,100.0815,FALSE,,,100.041,100.0415,100.0405,FALSE,,,,
100.0107574,TRUE,100.0108,3,,100.166,100.1665,100.1655,TRUE,,,100.083,100.0835,100.0825,FALSE,,,100.0415,100.042,100.041,FALSE,,,,
100.0107956,TRUE,100.0108,3,,100.168,100.1685,100.1675,FALSE,,,100.084,100.0845,100.0835,FALSE,,,100.042,100.0425,100.0415,TRUE,,,,
100.0108414,FALSE,100.0108,3,,100.17,100.1705,100.1695,FALSE,,,100.085,100.0855,100.0845,FALSE,,,100.0425,100.043,100.042,TRUE,,,,
100.0149536,TRUE,100.015,2,,100.172,100.1725,100.1715,FALSE,,,100.086,100.0865,100.0855,FALSE,,,100.043,100.0435,100.0425,FALSE,,,,
100.0150223,TRUE,100.015,2,,100.174,100.1745,100.1735,FALSE,,,100.087,100.0875,100.0865,FALSE,,,100.0435,100.044,100.043,FALSE,,,,
100.0150681,TRUE,100.0151,6,,100.176,100.1765,100.1755,FALSE,,,100.088,100.0885,100.0875,FALSE,,,100.044,100.0445,100.0435,FALSE,,,,
100.0150681,TRUE,100.0151,6,,100.178,100.1785,100.1775,FALSE,,,100.089,100.0895,100.0885,FALSE,,,100.0445,100.045,100.044,FALSE,,,,
100.0150833,TRUE,100.0151,6,,100.18,100.1805,100.1795,FALSE,,,100.09,100.0905,100.0895,TRUE,,,100.045,100.0455,100.0445,FALSE,,,,
100.0151062,TRUE,100.0151,6,,100.182,100.1825,100.1815,FALSE,,,100.091,100.0915,100.0905,FALSE,,,100.0455,100.046,100.045,TRUE,,,,
100.0151291,TRUE,100.0151,6,,100.184,100.1845,100.1835,FALSE,,,100.092,100.0925,100.0915,FALSE,,,100.046,100.0465,100.0455,TRUE,,,,
100.0151443,TRUE,100.0151,6,,100.186,100.1865,100.1855,FALSE,,,100.093,100.0935,100.0925,TRUE,,,100.0465,100.047,100.046,TRUE,,,,
100.0151749,TRUE,100.0152,2,,100.188,100.1885,100.1875,FALSE,,,100.094,100.0945,100.0935,FALSE,,,100.047,100.0475,100.0465,TRUE,,,,
100.0151978,TRUE,100.0152,2,,100.19,100.1905,100.1895,FALSE,,,100.095,100.0955,100.0945,FALSE,,,100.0475,100.048,100.047,TRUE,,,,
100.0153275,FALSE,100.0153,1,,100.192,100.1925,100.1915,FALSE,,,100.096,100.0965,100.0955,FALSE,,,100.048,100.0485,100.0475,FALSE,,,,
100.0196533,FALSE,100.0197,1,,100.194,100.1945,100.1935,FALSE,,,100.097,100.0975,100.0965,FALSE,,,100.0485,100.049,100.048,FALSE,,,,
100.0268173,FALSE,100.0268,1,,100.196,100.1965,100.1955,TRUE,,,100.098,100.0985,100.0975,FALSE,,,100.049,100.0495,100.0485,FALSE,,,,
100.0330963,TRUE,100.0331,1,,100.198,100.1985,100.1975,FALSE,,,100.099,100.0995,100.0985,FALSE,,,100.0495,100.05,100.049,FALSE,,,,
100.0331802,TRUE,100.0332,3,,100.2,100.2005,100.1995,FALSE,,,100.1,100.1005,100.0995,FALSE,,,100.05,100.0505,100.0495,FALSE,,,,
100.0332108,TRUE,100.0332,3,,100.202,100.2025,100.2015,FALSE,,,100.101,100.1015,100.1005,FALSE,,,100.0505,100.051,100.05,FALSE,,,,
100.0332184,TRUE,100.0332,3,,100.204,100.2045,100.2035,FALSE,,,100.102,100.1025,100.1015,FALSE,,,100.051,100.0515,100.0505,TRUE,,,,
100.0332642,TRUE,100.0333,8,,100.206,100.2065,100.2055,FALSE,,,100.103,100.1035,100.1025,FALSE,,,100.0515,100.052,100.051,TRUE,,,,
100.0332794,TRUE,100.0333,8,,100.208,100.2085,100.2075,FALSE,,,100.104,100.1045,100.1035,FALSE,,,100.052,100.0525,100.0515,TRUE,,,,
100.0332947,TRUE,100.0333,8,,100.21,100.2105,100.2095,FALSE,,,100.105,100.1055,100.1045,FALSE,,,100.0525,100.053,100.052,FALSE,,,,
100.0333023,TRUE,100.0333,8,,100.212,100.2125,100.2115,FALSE,,,100.106,100.1065,100.1055,FALSE,,,100.053,100.0535,100.0525,FALSE,,,,
100.0333405,TRUE,100.0333,8,,100.214,100.2145,100.2135,FALSE,,,100.107,100.1075,100.1065,FALSE,,,100.0535,100.054,100.053,FALSE,,,,
100.0333405,TRUE,100.0333,8,,100.216,100.2165,100.2155,TRUE,,,100.108,100.1085,100.1075,FALSE,,,100.054,100.0545,100.0535,FALSE,,,,
100.0333481,TRUE,100.0333,8,,100.218,100.2185,100.2175,FALSE,,,100.109,100.1095,100.1085,FALSE,,,100.0545,100.055,100.054,FALSE,,,,
100.0333481,TRUE,100.0333,8,,100.22,100.2205,100.2195,FALSE,,,100.11,100.1105,100.1095,FALSE,,,100.055,100.0555,100.0545,FALSE,,,,
100.0333557,TRUE,100.0334,16,,100.222,100.2225,100.2215,FALSE,,,100.111,100.1115,100.1105,FALSE,,,100.0555,100.056,100.055,FALSE,,,,
100.0333557,TRUE,100.0334,16,,100.224,100.2245,100.2235,FALSE,,,100.112,100.1125,100.1115,FALSE,,,100.056,100.0565,100.0555,FALSE,,,,
100.0333557,TRUE,100.0334,16,,100.226,100.2265,100.2255,FALSE,,,100.113,100.1135,100.1125,FALSE,,,100.0565,100.057,100.056,FALSE,,,,
100.0333557,TRUE,100.0334,16,,100.228,100.2285,100.2275,FALSE,,,100.114,100.1145,100.1135,FALSE,,,100.057,100.0575,100.0565,FALSE,,,,
100.0333633,TRUE,100.0334,16,,100.23,100.2305,100.2295,FALSE,,,100.115,100.1155,100.1145,TRUE,,,100.0575,100.058,100.057,FALSE,,,,
100.0333862,TRUE,100.0334,16,,100.232,100.2325,100.2315,FALSE,,,100.116,100.1165,100.1155,FALSE,,,100.058,100.0585,100.0575,FALSE,,,,
100.0333862,TRUE,100.0334,16,,100.234,100.2345,100.2335,FALSE,,,100.117,100.1175,100.1165,FALSE,,,100.0585,100.059,100.058,FALSE,,,,
100.0333939,TRUE,100.0334,16,,100.236,100.2365,100.2355,FALSE,,,100.118,100.1185,100.1175,FALSE,,,100.059,100.0595,100.0585,FALSE,,,,
100.0333939,TRUE,100.0334,16,,100.238,100.2385,100.2375,FALSE,,,100.119,100.1195,100.1185,FALSE,,,100.0595,100.06,100.059,TRUE,,,,
100.0334091,TRUE,100.0334,16,,100.24,100.2405,100.2395,FALSE,,,100.12,100.1205,100.1195,FALSE,,,100.06,100.0605,100.0595,TRUE,,,,
100.0334244,TRUE,100.0334,16,,100.242,100.2425,100.2415,FALSE,,,100.121,100.1215,100.1205,FALSE,,,100.0605,100.061,100.06,TRUE,,,,
100.033432,TRUE,100.0334,16,,100.244,100.2445,100.2435,FALSE,,,100.122,100.1225,100.1215,FALSE,,,100.061,100.0615,100.0605,TRUE,,,,
100.0334396,TRUE,100.0334,16,,100.246,100.2465,100.2455,FALSE,,,100.123,100.1235,100.1225,FALSE,,,100.0615,100.062,100.061,FALSE,,,,
100.0334396,TRUE,100.0334,16,,100.248,100.2485,100.2475,FALSE,,,100.124,100.1245,100.1235,FALSE,,,100.062,100.0625,100.0615,FALSE,,,,
100.0334396,TRUE,100.0334,16,,100.25,100.2505,100.2495,FALSE,,,100.125,100.1255,100.1245,FALSE,,,100.0625,100.063,100.062,FALSE,,,,
100.0334473,TRUE,100.0334,16,,100.252,100.2525,100.2515,FALSE,,,100.126,100.1265,100.1255,FALSE,,,100.063,100.0635,100.0625,FALSE,,,,
100.0334854,TRUE,100.0335,1,,100.254,100.2545,100.2535,FALSE,,,100.127,100.1275,100.1265,FALSE,,,100.0635,100.064,100.063,FALSE,,,,
100.0335693,FALSE,100.0336,1,,100.256,100.2565,100.2555,FALSE,,,100.128,100.1285,100.1275,FALSE,,,100.064,100.0645,100.0635,FALSE,,,,
100.0387039,TRUE,100.0387,3,,100.258,100.2585,100.2575,FALSE,,,100.129,100.1295,100.1285,FALSE,,,100.0645,100.065,100.064,FALSE,,,,
100.0387039,TRUE,100.0387,3,,100.26,100.2605,100.2595,FALSE,,,100.13,100.1305,100.1295,FALSE,,,100.065,100.0655,100.0645,FALSE,,,,
100.0387344,TRUE,100.0387,3,,100.262,100.2625,100.2615,FALSE,,,100.131,100.1315,100.1305,FALSE,,,100.0655,100.066,100.065,FALSE,,,,
100.038765,TRUE,100.0388,6,,100.264,100.2645,100.2635,FALSE,,,100.132,100.1325,100.1315,FALSE,,,100.066,100.0665,100.0655,FALSE,,,,
100.0387726,TRUE,100.0388,6,,100.266,100.2665,100.2655,FALSE,,,100.133,100.1335,100.1325,FALSE,,,100.0665,100.067,100.066,FALSE,,,,
100.0387802,TRUE,100.0388,6,,100.268,100.2685,100.2675,FALSE,,,100.134,100.1345,100.1335,FALSE,,,100.067,100.0675,100.0665,FALSE,,,,
100.0387802,TRUE,100.0388,6,,100.27,100.2705,100.2695,FALSE,,,100.135,100.1355,100.1345,FALSE,,,100.0675,100.068,100.067,FALSE,,,,
100.0387955,TRUE,100.0388,6,,100.272,100.2725,100.2715,FALSE,,,100.136,100.1365,100.1355,FALSE,,,100.068,100.0685,100.0675,FALSE,,,,
100.0388031,TRUE,100.0388,6,,100.274,100.2745,100.2735,FALSE,,,100.137,100.1375,100.1365,FALSE,,,100.0685,100.069,100.068,FALSE,,,,
100.0388565,TRUE,100.0389,16,,100.276,100.2765,100.2755,FALSE,,,100.138,100.1385,100.1375,TRUE,,,100.069,100.0695,100.0685,FALSE,,,,
100.0388565,TRUE,100.0389,16,,100.278,100.2785,100.2775,FALSE,,,100.139,100.1395,100.1385,FALSE,,,100.0695,100.07,100.069,FALSE,,,,
100.0388565,TRUE,100.0389,16,,100.28,100.2805,100.2795,FALSE,,,100.14,100.1405,100.1395,FALSE,,,100.07,100.0705,100.0695,FALSE,,,,
100.0388641,TRUE,100.0389,16,,100.282,100.2825,100.2815,FALSE,,,100.141,100.1415,100.1405,TRUE,,,100.0705,100.071,100.07,FALSE,,,,
100.0388718,TRUE,100.0389,16,,100.284,100.2845,100.2835,FALSE,,,100.142,100.1425,100.1415,FALSE,,,100.071,100.0715,100.0705,FALSE,,,,
100.0388947,TRUE,100.0389,16,,100.286,100.2865,100.2855,FALSE,,,100.143,100.1435,100.1425,FALSE,,,100.0715,100.072,100.071,FALSE,,,,
100.0388947,TRUE,100.0389,16,,100.288,100.2885,100.2875,FALSE,,,100.144,100.1445,100.1435,FALSE,,,100.072,100.0725,100.0715,FALSE,,,,
100.0389099,TRUE,100.0389,16,,100.29,100.2905,100.2895,TRUE,,,100.145,100.1455,100.1445,FALSE,,,100.0725,100.073,100.072,FALSE,,,,
100.0389099,TRUE,100.0389,16,,100.292,100.2925,100.2915,FALSE,,,100.146,100.1465,100.1455,FALSE,,,100.073,100.0735,100.0725,FALSE,,,,
100.0389252,TRUE,100.0389,16,,100.294,100.2945,100.2935,FALSE,,,100.147,100.1475,100.1465,FALSE,,,100.0735,100.074,100.073,FALSE,,,,
100.0389328,TRUE,100.0389,16,,100.296,100.2965,100.2955,FALSE,,,100.148,100.1485,100.1475,FALSE,,,100.074,100.0745,100.0735,FALSE,,,,
100.0389328,TRUE,100.0389,16,,100.298,100.2985,100.2975,FALSE,,,100.149,100.1495,100.1485,FALSE,,,100.0745,100.075,100.074,FALSE,,,,
100.0389404,TRUE,100.0389,16,,100.3,100.3005,100.2995,FALSE,,,100.15,100.1505,100.1495,FALSE,,,100.075,100.0755,100.0745,FALSE,,,,
100.0389404,TRUE,100.0389,16,,100.302,100.3025,100.3015,FALSE,,,100.151,100.1515,100.1505,FALSE,,,100.0755,100.076,100.075,FALSE,,,,
100.0389481,TRUE,100.0389,16,,100.304,100.3045,100.3035,FALSE,,,100.152,100.1525,100.1515,FALSE,,,100.076,100.0765,100.0755,FALSE,,,,
100.0389481,TRUE,100.0389,16,,100.306,100.3065,100.3055,FALSE,,,100.153,100.1535,100.1525,TRUE,,,100.0765,100.077,100.076,FALSE,,,,
100.0389557,TRUE,100.039,29,,100.308,100.3085,100.3075,FALSE,,,100.154,100.1545,100.1535,FALSE,,,100.077,100.0775,100.0765,FALSE,,,,
100.0389557,TRUE,100.039,29,,100.31,100.3105,100.3095,FALSE,,,100.155,100.1555,100.1545,TRUE,,,100.0775,100.078,100.077,FALSE,,,,
100.0389633,TRUE,100.039,29,,100.312,100.3125,100.3115,FALSE,,,100.156,100.1565,100.1555,FALSE,,,100.078,100.0785,100.0775,FALSE,,,,
100.0389633,TRUE,100.039,29,,100.314,100.3145,100.3135,TRUE,,,100.157,100.1575,100.1565,FALSE,,,100.0785,100.079,100.078,FALSE,,,,
100.0389633,TRUE,100.039,29,,100.316,100.3165,100.3155,FALSE,,,100.158,100.1585,100.1575,FALSE,,,100.079,100.0795,100.0785,FALSE,,,,
100.0389633,TRUE,100.039,29,,100.318,100.3185,100.3175,FALSE,,,100.159,100.1595,100.1585,FALSE,,,100.0795,100.08,100.079,FALSE,,,,
100.0389633,TRUE,100.039,29,,100.32,100.3205,100.3195,FALSE,,,100.16,100.1605,100.1595,FALSE,,,100.08,100.0805,100.0795,TRUE,,,,
100.0389633,TRUE,100.039,29,,100.322,100.3225,100.3215,FALSE,,,100.161,100.1615,100.1605,FALSE,,,100.0805,100.081,100.08,TRUE,,,,
100.0389633,TRUE,100.039,29,,100.324,100.3245,100.3235,FALSE,,,100.162,100.1625,100.1615,FALSE,,,100.081,100.0815,100.0805,FALSE,,,,
