mz,rt,X300_500_Neg_JeansA.mzXML,X300_500_Neg_JeansB.mzXML,X300_500_Neg_JeansC.mzXML,X300_500_Neg_JeansD.mzXML,X300_500_Neg_JeansDx.mzXML,X300_500_Neg_JeansE.mzXML,X300_500_Neg_JeansF.mzXML,X300_500_Neg_JeansG.mzXML,X300_500_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore,,460,rows
311.1691589,5.564266667,597930.625,496785.7188,2536942.75,518858.5,425940.5,487836.9688,704733.6875,367187.8438,502176.4375,3,C16H25NO5;C15H18N8;C16H27NO6;C15H23NO3;C15H23NO3;C15H23NO3,-0.483826396763623;-0.484168238736786;-0.483826396763623;-0.483826396763623;-0.483826396763623;-0.483826396763623,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,-1.29205788409227;-1.47421790788362;-1.29205788409227;-1.29205788409227;-1.29205788409227;-1.29205788409227,CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O;Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2;CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C;CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1;CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO;CN(C)CCO.OC(=O)C=C.C=Cc1ccccc1,18077;28585;18371;23941;26586;36789,[M-H]-;[M]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0,0;0;0;0;0;0,1;0.5;0;0;0;0,0;0;0;0;0;0,-0.29205788409227;-0.97421790788362;-1.29205788409227;-1.29205788409227;-1.29205788409227;-1.29205788409227,,,
313.1648051,5.653933333,48830.19531,68939.85938,53694.34375,91734.53906,37932.38672,44920.00781,126414.2734,104768.9922,67532.95313,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
312.1730347,5.5355,222809.3906,200303.3125,1054021.25,220310.5469,162320.5,198798.5,294344.5938,132971.4688,222953.1094,3,C20H24O3;C17H27NO2;C17H27NO2;C17H27NO2,-4.60513432461443;-4.60513595238108;-4.60513595238108;-4.60513595238108,0.00995033085316809;-4.55963952657992;-4.55963952657992;-4.55963952657992,-5.44133783991511;-9.78016009434561;-9.78016009434561;-9.78016009434561,CC(C)=CCC/C(C)=C/COc1ccc2C(=CC(=O)Oc2c1)C;CCCCCCCCCCOC(=O)c1ccccc1N;C\C(NO)=C/1C=C(CCCCCC(C)(C)C)C=CC1=O;CCCCC(CC)COC(=O)c1ccccc1N(C)C,3805;23678;15531;29072,[M]-;[M+Cl]-;[M+Cl]-;[M+Cl]-,0;0;0;0,0;-0.5;-0.5;-0.5,0.5;0;0;0,0;0.948526968043829;0.948526968043829;0.948526968043829,0;0;0;0,,,
313.2386882,5.301816667,53389.58203,55642.69922,67980.10156,59320.67578,49866.19531,39480.19141,90869.20313,123726.7422,51935.79688,8,C18H33BO4;C18H34O4;C17H32O2;C17H32O2;C17H32O2;C18H34O4;C18H34O4,0.00952095116073449;0.00952095116073449;0.00952095116073449;0.00952095116073449;0.00952095116073449;0.00952095116073449;0.00952095116073449,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0194712820139026;0.0194712820139026;0.0194712820139026;0.0194712820139026;0.0194712820139026;0.0194712820139026;0.0194712820139026,CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-];OC(=O)CCCCCCCCCCCCCCCCC(O)=O;CCCCCCCCCCCCCCOC(=O)C=C;CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1;CC/C=C/CCCCCCCCO[C@@H]1CCCCO1;CCCCCCCCC(=O)OOC(=O)CCCCCCCC;CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC,39568;6376;19354;21252;23617;6163;19350,[M]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M-H]-;[M-H]-,0;0;0;0;0;0;0,0;0;0;0;0;-0.5;-0.5,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0.0194712820139026;0.0194712820139026;0.0194712820139026;0.0194712820139026;0.0194712820139026;0;0,,,
313.2385966,7.786533333,48915.78125,72522,118160.4297,79882.60938,24093.98242,86238.16406,550653.6875,197904.7969,73921.39844,7,C18H34O4;C18H33BO4;C17H32O2;C17H32O2;C17H32O2;C18H34O4;C18H34O4,0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951,OC(=O)CCCCCCCCCCCCCCCCC(O)=O;CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-];CCCCCCCCCCCCCCOC(=O)C=C;CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1;CC/C=C/CCCCCCCCO[C@@H]1CCCCO1;CCCCCCCCC(=O)OOC(=O)CCCCCCCC;CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC,6376;39568;19354;21252;23617;6163;19350,[M-H]-;[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M-H]-;[M-H]-,0;0;0;0;0;0;0,0;0;0;0;0;-0.5;-0.5,1;0.5;0;0;0;1;1,0;0;0;0;0;0;0,1.0196375019593;0.519637501959295;0.0196375019592951;0.0196375019592951;0.0196375019592951;0;0,,,
313.2387899,5.30005,40557.14844,55642.69922,67980.10156,59320.67578,42704.91406,39480.19141,153022.8438,123726.7422,59006.03125,7,C18H34O4;C18H34O4;C18H34O4;C18H33BO4;C17H32O2;C17H32O2;C17H32O2,0.00901701953851694;0.00901701953851694;0.00901701953851694;0.00901701953851694;0.00901701953851694;0.00901701953851694;0.00901701953851694,-2.44814248278944;-2.44814248278944;-2.44814248278944;-2.46278273506608;-3.30879582924252;-3.30879582924252;-3.30879582924252,-2.43912546325092;-2.43912546325092;-2.43912546325092;-2.45376571552757;-3.299778809704;-3.299778809704;-3.299778809704,CCCCCCCCC(=O)OOC(=O)CCCCCCCC;CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC;OC(=O)CCCCCCCCCCCCCCCCC(O)=O;CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-];CCCCCCCCCCCCCCOC(=O)C=C;CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1;CC/C=C/CCCCCCCCO[C@@H]1CCCCO1,6163;19350;6376;39568;19354;21252;23617,[M-H]-;[M-H]-;[M-H]-;[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0;0,-0.5;-0.5;0;0;0;0;0,1;1;1;0.5;0;0;0,0;0;0;0;0;0;0,0;0;-1.43912546325092;-1.95376571552757;-3.299778809704;-3.299778809704;-3.299778809704,,,
313.8363037,7.90265,78982.07813,88820.28906,100,38958.66016,35206.375,87862.21875,155379.7031,56404.46484,100358.5703,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
313.8368632,7.091766667,78982.07813,88820.28906,11503.65332,42293.125,40899.98438,87862.21875,101071.2734,106431.8203,100358.5703,8,0,0,0,0,0,0,0,0,0,0,0,0,,,
313.8635457,0.244626667,100256.8438,97611.29688,106797.8359,139703.8594,142924.5313,114301.2578,134097.6719,132605.4688,112889.6328,5,0,0,0,0,0,0,0,0,0,0,0,0,,,
312.1725769,5.564266667,111158.75,91882,513656.2813,94935.53906,83267.42188,79725.53906,136459.8438,68807.10156,110495.0703,3,C20H24O3,-4.605135751,-4.256294365,-9.639207894,CC(C)=CCC/C(C)=C/COc1ccc2C(=CC(=O)Oc2c1)C,3805,[M]-,0,0,0.5,0,0,,,
