mz,,,,,Found
186.1579687,,,,,
186.9167399,,,,,
186.9168279,,,,,
186.9294509,,,,,
187.0070275,,,,,
187.007094,,,,,
187.0253875,,,,,
187.0399814,,,,,
187.0805521,,,,,
187.0975686,,,,,
187.1339222,,,,,
187.1339524,,,,,
187.133969,,,,,
188.1008952,,,,,
188.1372374,,,,,
188.1372455,,,,,
188.1372525,,,,,
188.9251948,,,,,
188.9515273,,,,,
189.0168649,,,,,
189.0673174,,,,,
189.0768319,,,,,
189.0881299,,,,,
189.1131892,,,,,
189.907649,,,,,
190.0507423,,,,,
190.0558335,,,,,
190.0801501,,,,,
190.1166175,,,,,
190.9485527,,,,,
191.0712962,,,,,
191.0713002,,,,,
191.0713271,,,,,
191.0745164,,,,,
191.0804841,,,,,
191.107716,,,,,
191.1077356,,,,,
192.0513443,,,,,
192.0665726,,,,,
192.0746427,,,,,
193.0177645,,,,,
193.0502024,,,,,
193.0503092,,,,,
193.0503709,,,,,
193.0504647,,,,,
193.0504954,,,,,
193.0505119,,,,,
193.0505561,,,,,
193.0547783,,,,,
193.0699299,,,,,
193.0718645,,,,,
193.0869456,,,,,
193.0871006,,,,,
193.1081025,,,,,
193.1081242,,,,,
193.1081726,,,,,
193.1597535,,,,,
193.9740735,,,,,
194.0822572,,,,,
194.0902024,,,,,
194.975022,,,,,
194.9970447,,,,,
195.0335717,,,,,
195.1389256,,,,,
195.1390354,,,,,
195.1390535,,,,,
195.1390535,,,,,
195.9699182,,,,,
195.9965548,,,,,
196.0108818,,,,,
196.025143,,,,,
196.1423619,,,,,
196.8943452,,,,,
196.8943912,,,,,
196.9356497,,,,,
196.9557308,,,,,
196.9938176,,,,,
197.0010046,,,,,
197.02042,,,,,
197.0219985,,,,,
197.0307357,,,,,
197.0819263,,,,,
197.1182845,,,,,
197.1182945,,,,,
197.1183374,,,,,
197.9579518,,,,,
197.9579579,,,,,
197.9579774,,,,,
197.9935595,,,,,
198.0204641,,,,,
198.0230968,,,,,
198.0538742,,,,,
198.1135516,,,,,
198.9311712,,,,,
198.9313211,,,,,
198.9919112,,,,,
198.9931809,,,,,
199.0070598,,,,,
199.0167282,,,,,
199.0336816,,,,,
199.0434519,,,,,
199.0975976,,,,,
199.1339361,,,,,
199.1339471,,,,,
199.133955,,,,,
199.1703166,,,,,
199.1703456,,,,,
199.8973645,,,,,
199.9537207,,,,,
199.9537845,,,,,
200.0022286,,,,,
200.0022953,,,,,
200.0396074,,,,,
200.0396423,,,,,
200.0565436,,,,,
200.1009116,,,,,
200.1292113,,,,,
200.1371791,,,,,
200.1372321,,,,,
200.1372497,,,,,
200.173633,,,,,
200.9227804,,,,,
200.9451413,,,,,
200.9498972,,,,,
200.986315,,,,,
201.0137776,,,,,
201.0226345,,,,,
201.1018324,,,,,
201.1132236,,,,,
201.1495983,,,,,
201.1495994,,,,,
201.1496259,,,,,
201.8942975,,,,,
201.9451032,,,,,
201.9895816,,,,,
202.0800205,,,,,
202.0800761,,,,,
202.0801434,,,,,
202.08023,,,,,
202.0802616,,,,,
202.1165453,,,,,
202.1528447,,,,,
202.1529244,,,,,
202.9034417,,,,,
202.9183515,,,,,
202.9415192,,,,,
202.9969881,,,,,
203.0825287,,,,,
203.0826706,,,,,
203.0925045,,,,,
203.0925265,,,,,
203.103703,,,,,
204.0512757,,,,,
204.0512768,,,,,
204.0513504,,,,,
204.0513519,,,,,
204.0513908,,,,,
204.0514037,,,,,
204.0514201,,,,,
204.0514504,,,,,
204.0514744,,,,,
204.0514984,,,,,
204.0515143,,,,,
204.0515826,,,,,
204.0958471,,,,,
204.8996955,,,,,
204.8997473,,,,,
204.8997481,,,,,
204.9247894,,,,,
204.9249677,,,,,
204.9731502,,,,,
204.9731804,,,,,
205.0983523,,,,,
205.1234216,,,,,
205.9765185,,,,,
206.066835,,,,,
206.0668537,,,,,
206.0668935,,,,,
206.0669089,,,,,
206.1034149,,,,,
206.9516488,,,,,
206.9701439,,,,,
207.0121433,,,,,
207.0235969,,,,,
207.0512167,,,,,
207.0697152,,,,,
207.0874739,,,,,
207.139102,,,,,
208.1190835,,,,,
208.9025986,,,,,
208.9027385,,,,,
208.9737451,,,,,
209.0127546,,,,,
209.0220743,,,,,
209.0456006,,,,,
209.0948404,,,,,
209.1224274,,,,,
209.1547281,,,,,
209.1547508,,,,,
209.1911483,,,,,
209.9996066,,,,,
210.0121412,,,,,
210.0489385,,,,,
210.1580423,,,,,
210.9230566,,,,,
210.9920232,,,,,
210.9920344,,,,,
211.028365,,,,,
211.0464168,,,,,
211.0464239,,,,,
211.0611774,,,,,
211.0612132,,,,,
211.061255,,,,,
211.061284,,,,,
211.0613038,,,,,
211.0613082,,,,,
211.0613117,,,,,
211.061351,,,,,
211.0806953,,,,,
211.0976141,,,,,
211.1339348,,,,,
211.1339797,,,,,
211.1339972,,,,,
211.1340171,,,,,
211.9913879,,,,,
211.9956328,,,,,
212.0119988,,,,,
212.0565179,,,,,
212.1009558,,,,,
212.1292382,,,,,
212.1372314,,,,,
212.9507084,,,,,
212.9887862,,,,,
213.0226552,,,,,
213.0596397,,,,,
213.0879087,,,,,
213.1132582,,,,,
213.1132635,,,,,
213.1495729,,,,,
213.1496048,,,,,
213.1496054,,,,,
213.1496061,,,,,
213.1496081,,,,,
213.1496093,,,,,
213.1496102,,,,,
213.1496118,,,,,
213.1496124,,,,,
213.1496191,,,,,
213.1496228,,,,,
213.1496234,,,,,
213.1496362,,,,,
213.1496384,,,,,
213.1496446,,,,,
213.1496543,,,,,
213.1496547,,,,,
213.1496638,,,,,
213.1860468,,,,,
213.186096,,,,,
214.0094038,,,,,
214.0179946,,,,,
214.1165661,,,,,
214.1165824,,,,,
214.144862,,,,,
214.1448944,,,,,
214.1529236,,,,,
214.9117559,,,,,
214.9117893,,,,,
215.0561465,,,,,
215.0924846,,,,,
215.0924884,,,,,
215.0924887,,,,,
215.092489,,,,,
215.092497,,,,,
215.0925062,,,,,
215.0925112,,,,,
215.0925116,,,,,
215.0925126,,,,,
215.0925151,,,,,
215.0925167,,,,,
215.092518,,,,,
215.0925196,,,,,
215.0925207,,,,,
215.092522,,,,,
215.0925243,,,,,
215.0925244,,,,,
215.0925264,,,,,
215.0925288,,,,,
215.0925359,,,,,
215.0925427,,,,,
215.0925596,,,,,
215.0925696,,,,,
215.1288733,,,,,
215.1288779,,,,,
215.1288933,,,,,
215.1652793,,,,,
215.1652994,,,,,
215.1653087,,,,,
215.1653255,,,,,
215.9560692,,,,,
216.0591176,,,,,
216.0878669,,,,,
216.1242606,,,,,
216.1322054,,,,,
216.1322384,,,,,
216.1686091,,,,,
216.909458,,,,,
216.9094801,,,,,
216.9804756,,,,,
217.0141736,,,,,
217.0717637,,,,,
217.1081652,,,,,
217.119329,,,,,
217.144535,,,,,
217.9393754,,,,,
217.9519027,,,,,
218.1034321,,,,,
218.1114917,,,,,
218.9377101,,,,,
219.1027051,,,,,
219.1238195,,,,,
219.9841021,,,,,
220.0979212,,,,,
220.8530419,,,,,
220.9680906,,,,,
220.9680999,,,,,
221.001099,,,,,
221.0819648,,,,,
221.0819665,,,,,
221.1545808,,,,,
221.1546032,,,,,
221.9691349,,,,,
221.9810832,,,,,
222.0772477,,,,,
222.0853052,,,,,
222.0853296,,,,,
222.9613073,,,,,
222.9650841,,,,,
222.9651364,,,,,
223.0282094,,,,,
223.0282909,,,,,
223.0283579,,,,,
223.0283668,,,,,
223.0283989,,,,,
223.0283991,,,,,
223.0284013,,,,,
223.0284041,,,,,
223.0284096,,,,,
223.0802456,,,,,
223.0976949,,,,,
223.1339986,,,,,
223.1340068,,,,,
223.1703344,,,,,
224.0278497,,,,,
224.0279201,,,,,
224.0319833,,,,,
224.0320333,,,,,
224.0564444,,,,,
225.007702,,,,,
225.0170165,,,,,
225.0252051,,,,,
225.0252392,,,,,
