Compound (+ Cl-),Most Abundant Mass,Mass + e-,% Abundance,,Compound,Average Molecular Weight,Cl Average Weight,Cl Content (mass %)
C18H22Cl17,840.630851,840.631401,0.182907836,,C18H22Cl16,801.493251,566.5089239,0.706816836
C18H21Cl18,874.591879,874.592429,0.178183175,,C18H21Cl17,834.2787249,601.2115348,0.720636302
C18H20Cl19,908.552907,908.553457,0.171008993,,C18H20Cl18,867.0755532,637.5385858,0.735274548
C18H19Cl20,944.510985,944.511535,0.16582939,,C18H19Cl19,904.3218279,672.4047643,0.743545874
C18H18Cl21,978.472013,978.472563,0.164911418,,C18H18Cl20,936.7607672,706.8656082,0.754584984
C18H17Cl22,1012.433041,1012.433591,0.161701631,,C18H17Cl21,969.1837838,743.554118,0.767196202
C18H16Cl23,1046.394069,1046.394619,0.156552369,,C18H16Cl22,1006.200329,778.2451134,0.773449472
C18H15Cl24,1072.366897,1072.367447,0.008072686,,C18H15Cl23,1038.479564,812.486649,0.782380971
C18H14Cl25,1106.327925,1106.328475,0.006371427,,C18H14Cl24,9.994959836,9.328980225,0.933368456
C18H13Cl26,1140.288953,1140.289503,0.00502065,,C18H13Cl25,8.094796012,7.632960448,0.942946609
C18H12Cl27,1174.249981,1174.250531,0.003950393,,C18H12Cl26,6.541753831,6.227436162,0.951952079
C18H11Cl28,1208.211009,1208.211559,0.00310402,,C18H11Cl27,5.27600096,5.067250459,0.960433953
C18H10Cl29,1242.172037,1242.172587,0.002435871,,C18H10Cl28,4.247089842,4.11303415,0.968435871
C18H9Cl30,1276.133065,1276.133615,0.001909271,,C18H9Cl29,3.412736118,3.330819399,0.975996762
C18H8Cl31,1310.094093,1310.094643,0.001494851,,C18H8Cl30,2.737683231,2.691557267,0.98315146
C18H7Cl32,1344.055121,1344.055671,0.001169166,,C18H7Cl31,2.192672219,2.170594712,0.989931232
C18H6Cl33,1378.016149,1378.016699,0.000913545,,C18H6Cl32,1.753524083,1.74714865,0.996364217
C18H5Cl34,1411.977177,1411.977727,0.000713156,,C18H5Cl33,1.400334371,1.403801336,1.002475812
C18H4Cl35,1445.938205,1445.938755,0.000556242,,C18H4Cl34,1.116774725,1.126031665,1.008288995
C18H3Cl36,1479.899233,1479.899783,0.000433499,,C18H3Cl35,0.889493208,0.901790101,1.013824606
C18H2Cl37,1513.860261,1513.860811,0.000337581,,C18H2Cl36,0.707603842,0.721120201,1.019101591
C18H1Cl38,1547.821289,1547.821839,0.000262693,,C18H1Cl37,0.562255238,0.575826511,1.024137211
C18Cl39,1581.7822,1581.78275,0.000204277,,C18Cl38,0.446268373,0.459186639,1.028947304
C19H39Cl2,337.242881,337.243431,0.465762138,,C19H39Cl1,302.8690247,35.45293492,0.117056985
C19H38Cl3,371.203909,371.204459,0.35290198,,C19H38Cl2,336.6879561,70.90586984,0.210598177
C19H37Cl4,407.161987,407.162537,0.342213114,,C19H37Cl3,371.3449444,106.3588048,0.286415114
C19H36Cl5,441.123015,441.123565,0.324113092,,C19H36Cl4,405.2754312,141.8117397,0.349914475
C19H35Cl6,475.084043,475.084593,0.294691584,,C19H35Cl5,440.0815821,177.2646746,0.402799576
C19H34Cl7,509.045071,509.045621,0.260498025,,C19H34Cl6,473.9748331,212.6726162,0.448700229
C19H33Cl8,545.003149,545.003699,0.252607935,,C19H33Cl7,507.0517547,248.1578203,0.489413197
C19H32Cl9,578.964177,578.964727,0.246082863,,C19H32Cl8,542.776327,283.5324144,0.522374319
C19H31Cl10,612.925205,612.925755,0.233067274,,C19H31Cl9,576.0811232,318.7146053,0.553246049
C19H30Cl11,646.886233,646.886783,0.215834758,,C19H30Cl10,611.0904758,354.4084688,0.579960714
C19H29Cl12,682.844311,682.844861,0.209297451,,C19H29Cl11,644.6492633,389.6005103,0.604360437
C19H28Cl13,716.805339,716.805889,0.206156581,,C19H28Cl12,677.4836481,424.4552299,0.626517306
C19H27Cl14,750.766367,750.766917,0.198802786,,C19H27Cl13,713.3104329,460.521393,0.645611464
C19H26Cl15,784.727395,784.727945,0.188287892,,C19H26Cl14,747.1046696,495.4758078,0.663194634
C19H25Cl16,820.685473,820.686023,0.182584937,,C19H25Cl15,779.3893202,531.4616789,0.681894998
C19H24Cl17,854.646501,854.647051,0.180909106,,C19H24Cl16,815.9218194,566.5089239,0.694317655
C19H23Cl18,888.607529,888.608079,0.176236074,,C19H23Cl17,847.815943,601.2115348,0.709129782
C19H22Cl19,922.568557,922.569107,0.169140288,,C19H22Cl18,880.6340607,637.5385858,0.72395404
C19H21Cl20,958.526635,958.527185,0.164017285,,C19H21Cl19,917.9390884,672.4047643,0.732515668
C19H20Cl21,992.487663,992.488213,0.163109345,,C19H20Cl20,950.3001679,706.8656082,0.743834035
C19H19Cl22,1026.448691,1026.449241,0.159934632,,C19H19Cl21,982.7364852,743.554118,0.756615969
C19H18Cl23,1060.409719,1060.410269,0.154841639,,C19H18Cl22,1019.715224,778.2451134,0.763198485
C19H17Cl24,1086.382547,1086.383097,0.007984471,,C19H17Cl23,1051.926474,812.486649,0.772379695
C19H16Cl25,1120.343575,1120.344125,0.006301803,,C19H16Cl24,10.02755167,9.328980225,0.930334795
C19H15Cl26,1154.304603,1154.305153,0.004965787,,C19H15Cl25,8.117616716,7.632960448,0.940295744
C19H14Cl27,1188.265631,1188.266181,0.003907225,,C19H14Cl26,6.557481812,6.227436162,0.949668842
C19H13Cl28,1222.226659,1222.227209,0.003070101,,C19H13Cl27,5.286625037,5.067250459,0.958503851
C19H12Cl29,1256.187687,1256.188237,0.002409253,,C19H12Cl28,4.25407776,4.11303415,0.96684508
C19H11Cl30,1290.148715,1290.149265,0.001888407,,C19H11Cl29,3.417163927,3.330819399,0.974732108
C19H10Cl31,1324.109743,1324.110293,0.001478516,,C19H10Cl30,2.740334102,2.691557267,0.982200406
C19H9Cl32,1358.070771,1358.071321,0.00115639,,C19H9Cl31,2.194111539,2.170594712,0.989281845
C19H8Cl33,1392.031799,1392.032349,0.000903562,,C19H8Cl32,1.754156241,1.74714865,0.99600515
C19H7Cl34,1425.992827,1425.993377,0.000705363,,C19H7Cl33,1.400445487,1.403801336,1.002396273
C19H6Cl35,1459.953855,1459.954405,0.000550164,,C19H6Cl34,1.116564627,1.126031665,1.008478719
C19H5Cl36,1493.914883,1493.915433,0.000428762,,C19H5Cl35,0.889099248,0.901790101,1.014273832
C19H4Cl37,1527.875911,1527.876461,0.000333892,,C19H4Cl36,0.707118524,0.721120201,1.019801032
C19H3Cl38,1561.836939,1561.837489,0.000259823,,C19H3Cl37,0.561739198,0.575826511,1.025078031
C19H2Cl39,1595.797967,1595.798517,0.000202045,,C19H2Cl38,0.445759899,0.459186639,1.030121014
C19H1Cl40,1629.758995,1629.759545,0.000157012,,C19H1Cl39,0.353356134,0.365704093,1.0349448
C19Cl41,1663.7199,1663.72045,0.00012194,,C19Cl40,0.279827114,0.290897932,1.039563063
