SCCP 51.5,Area,%Cl,SCCP 63,Area,%Cl
C13H20Cl8,0.035359449,0.617673546,C13H20Cl8,0.527964182,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.188257247,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.004713645,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.025150259,0.564029913,C10H17Cl5,0.008283299,0.564029913
C10H16Cl6,0.027590605,0.61001587,C10H16Cl6,0.056233502,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.085701561,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.033452132,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.189349028,0.540036209,C11H19Cl5,0.023086505,0.540036209
C11H18Cl6,0.215567923,0.586515046,C11H18Cl6,0.205516588,0.586515046
C11H17Cl7,0.066712388,0.626189543,C11H17Cl7,0.545346367,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.455498199,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.157068815,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.261624908,0.518017402,C12H21Cl5,0.015637298,0.518017402
C12H20Cl6,0.359865668,0.564770501,C12H20Cl6,0.105858997,0.564770501
C12H19Cl7,0.143020904,0.604976907,C12H19Cl7,0.452006126,0.604976907
C12H18Cl8,0.029931422,0.636957678,C12H18Cl8,0.681519039,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.388801601,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.082492305,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.168133686,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.283962477,0.544593691,C13H22Cl6,0.026113116,0.544593691
C13H21Cl7,0.151731682,0.585171909,C13H21Cl7,0.199722962,0.585171909
C13H20Cl8,0.029991728,0.617673546,C13H20Cl8,0.492917331,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.178062591,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.004451286,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.021170832,0.564029913,C10H17Cl5,0.005895128,0.564029913
C10H16Cl6,0.030032007,0.61001587,C10H16Cl6,0.049840958,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.080742901,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.030591642,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.193644307,0.540036209,C11H19Cl5,0.025377245,0.540036209
C11H18Cl6,0.215826813,0.586515046,C11H18Cl6,0.192309858,0.586515046
C11H17Cl7,0.071665599,0.626189543,C11H17Cl7,0.499285857,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.422327223,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.139691941,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.275668595,0.518017402,C12H21Cl5,0.016883513,0.518017402
C12H20Cl6,0.368544736,0.564770501,C12H20Cl6,0.099505956,0.564770501
C12H19Cl7,0.145844249,0.604976907,C12H19Cl7,0.42374546,0.604976907
C12H18Cl8,0.030475334,0.636957678,C12H18Cl8,0.628208732,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.351590308,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.075240142,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.177922741,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.297266089,0.544593691,C13H22Cl6,0.025008834,0.544593691
C13H21Cl7,0.165000522,0.585171909,C13H21Cl7,0.176835306,0.585171909
C13H20Cl8,0.040123887,0.617673546,C13H20Cl8,0.451306241,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.166937082,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.005641326,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.023572187,0.564029913,C10H17Cl5,0.005603706,0.564029913
C10H16Cl6,0.028565776,0.61001587,C10H16Cl6,0.054071704,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.080322974,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.025489017,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.214720823,0.540036209,C11H19Cl5,0.01819318,0.540036209
C11H18Cl6,0.235562689,0.586515046,C11H18Cl6,0.179497835,0.586515046
C11H17Cl7,0.073885887,0.626189543,C11H17Cl7,0.464891875,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.391638675,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.122582211,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.298345325,0.518017402,C12H21Cl5,0.014920309,0.518017402
C12H20Cl6,0.390960689,0.564770501,C12H20Cl6,0.09982193,0.564770501
C12H19Cl7,0.159243988,0.604976907,C12H19Cl7,0.379819826,0.604976907
C12H18Cl8,0.028600702,0.636957678,C12H18Cl8,0.562676747,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.301764701,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.058345713,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.198695278,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.326827227,0.544593691,C13H22Cl6,0.018829891,0.544593691
