mz,minintensity,sampleID,,IsUnique,,mz,,lockmass mz
157.086,297655.7188,38,,FALSE,,,,
157.122,151989.5938,38,,FALSE,,,,
201.076,142693.1563,38,,FALSE,,,,
201.112,58383.96094,38,,FALSE,,,,
100.932,20457.52734,39,,FALSE,,,,
112.984,337107.8125,39,,FALSE,,,,
129.054,649658.75,39,,FALSE,,,,
143.07,587517.1875,39,,FALSE,,,,
201.076,139211.0469,39,,FALSE,,,,
100.932,15989.78125,40,,FALSE,,,,
112.984,337651.0938,40,,FALSE,,,,
129.054,565834,40,,FALSE,,,,
143.07,513082.125,40,,FALSE,,,,
148.06,346924.9375,40,,FALSE,,,,
201.076,133967.7656,40,,FALSE,,,,
112.984,337400.0313,41,,FALSE,,,,
117.054,251081.9531,41,,FALSE,,,,
121.028,74029.03906,41,,FALSE,,,,
129.054,390527.1563,41,,FALSE,,,,
131.07,85424.36719,41,,FALSE,,,,
143.034,199887.5625,41,,FALSE,,,,
143.07,268007.8438,41,,FALSE,,,,
145.086,60479.87891,41,,FALSE,,,,
148.06,66046.96094,41,,FALSE,,,,
155.07,49060.61328,41,,FALSE,,,,
157.086,79340.64844,41,,FALSE,,,,
157.122,41468.92188,41,,FALSE,,,,
169.086,40657.78125,41,,FALSE,,,,
171.138,35278.55469,41,,FALSE,,,,
174.048,90696.28906,41,,FALSE,,,,
175.06,109596.1563,41,,FALSE,,,,
187.06,246116.7031,41,,FALSE,,,,
199.06,117451.875,41,,FALSE,,,,
201.076,83112.69531,41,,FALSE,,,,
213.076,60965.67188,41,,FALSE,,,,
100.932,14023.19336,42,,FALSE,,,,
112.984,287262.3438,42,,FALSE,,,,
117.054,152434.9844,42,,FALSE,,,,
129.054,638616.5625,42,,FALSE,,,,
131.07,113769.2109,42,,FALSE,,,,
132.922,33354.30469,42,,FALSE,,,,
143.07,523932.9063,42,,FALSE,,,,
145.086,70403.14063,42,,FALSE,,,,
148.06,347044.9688,42,,FALSE,,,,
157.086,228014.125,42,,FALSE,,,,
